,Edges,y,CN,SaI,JI,SoI,HPI,HDI,LHN1,PAI,AAI,RAI,KzI,LHN2,ACT,CBL,RWR,MFI
211,"(2, 11)",1,2,0.1543033499620919,0.0625,0.11764705882352941,0.3333333333333333,0.07142857142857142,0.011904761904761904,168,0.9609582064547204,0.25263157894736843,0.005518275989366538,0.0,3.756973461554536,-0.015943057687095846,-0.0034408278323021604,0.007482413395121045
216,"(2, 17)",1,17,0.48433244995346125,0.3090909090909091,0.4722222222222222,0.6071428571428571,0.38636363636363635,0.013798701298701298,1232,8.897222764632765,2.383982580886606,0.051378561648200934,0.0,14.761163655225964,0.028725645513713476,-0.000993608037135367,0.009353730714242118
220,"(2, 21)",1,2,0.1259881576697424,0.05714285714285714,0.10810810810810811,0.2222222222222222,0.07142857142857142,0.007936507936507936,252,0.696798921681415,0.11538461538461539,0.01185459442805299,0.0,6.109520258623057,-0.0053105287897838955,-0.002496286858728968,0.008203749443653981
221,"(2, 26)",1,2,0.1259881576697424,0.05714285714285714,0.10810810810810811,0.2222222222222222,0.07142857142857142,0.007936507936507936,252,0.6925793957598698,0.11145510835913312,0.011046284625107355,0.0,5.984235574807077,-0.00857533470900333,-0.002496286858728988,0.008083288338786104
278,"(2, 97)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.325190697150244,0.08754857574587574,0.0,0.0
494,"(5, 6)",1,1,0.22360679774997896,0.125,0.2222222222222222,0.25,0.2,0.05,20,0.48089834696298783,0.125,0.002459234740704854,0.0,1.8361218618318251,0.022091611788336386,-0.0076507818859422785,0.010724029159416266
514,"(5, 27)",1,1,0.1336306209562122,0.058823529411764705,0.1111111111111111,0.25,0.07142857142857142,0.017857142857142856,56,0.26425736993644544,0.022727272727272728,0.003347683891954325,0.0,2.4561725615814725,-0.028450874478839303,-0.00546484420424448,0.006054305357186944
528,"(5, 43)",1,2,0.2,0.07407407407407407,0.13793103448275862,0.5,0.08,0.02,100,0.8855923044960573,0.22272727272727275,0.00593059140391718,0.0,2.726563928987159,-0.016844417992845966,-0.004930503882051773,0.007320608127656442
723,"(7, 38)",1,3,0.35856858280031806,0.21428571428571427,0.35294117647058826,0.42857142857142855,0.3,0.04285714285714286,70,0.9736146507484249,0.1445221445221445,0.007972396478316834,0.0,3.6558191110988796,-0.00019574817155777117,-0.004128993398762562,0.008494205827522246
1246,"(12, 88)",1,1,0.16666666666666666,0.08333333333333333,0.15384615384615385,0.25,0.1111111111111111,0.027777777777777776,36,0.26425736993644544,0.022727272727272728,0.0036673797627497025,0.0,2.471121378747141,-0.009411136513974001,-0.006139516328225353,0.007103416737066901
1632,"(17, 25)",1,5,0.22727272727272727,0.1,0.18181818181818182,0.45454545454545453,0.11363636363636363,0.010330578512396695,484,2.312175903198687,0.5665833134873383,0.019546800151777257,0.0,7.625129283969773,-0.0018314389711659232,-0.0019320156277632138,0.0084471738087168
1635,"(17, 31)",1,5,0.251259453814803,0.10416666666666667,0.18867924528301888,0.5555555555555556,0.11363636363636363,0.012626262626262626,396,1.8405463669498818,0.3394264507422402,0.0190002962888068,0.0,6.673606459313948,-0.01080976613816355,-0.0022754850726989136,0.008235297569249221
1636,"(17, 32)",1,6,0.31980107453341566,0.13043478260869565,0.23076923076923078,0.75,0.13636363636363635,0.017045454545454544,352,2.872143379152541,0.7467948717948718,0.016362249648560492,0.0,5.454927026396073,-0.0026767445775537873,-0.0025116203160921884,0.008662649156634693
1658,"(17, 65)",1,3,0.20225995873897262,0.06521739130434782,0.12244897959183673,0.6,0.06818181818181818,0.013636363636363636,220,1.5831316284855874,0.45,0.008554254982023984,0.0,3.805342971092199,-0.006985459547375261,-0.0037867506304159163,0.008180248870497932
2239,"(24, 76)",1,1,0.08058229640253803,0.041666666666666664,0.08,0.09090909090909091,0.07142857142857142,0.006493506493506494,154,0.48089834696298783,0.125,0.004930366804285218,0.0,5.2505637637616145,-0.005745947251533164,-0.002760022325376036,0.008029844968543377
2290,"(25, 48)",1,1,0.10050378152592121,0.05263157894736842,0.1,0.1111111111111111,0.09090909090909091,0.010101010101010102,99,0.3396232718951086,0.05263157894736842,0.004172337243959738,0.0,4.285013924946813,-0.00916893895110075,-0.003434694449356846,0.007553324235124009
2327,"(25, 88)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.001346050095916415,0.0,2.5658535585010327,-0.021581577922291144,-0.005796046883289675,0.0059902810722326704
2373,"(26, 51)",1,2,0.13074409009212268,0.06060606060606061,0.11428571428571428,0.2222222222222222,0.07692307692307693,0.008547008547008548,234,0.6812897613606917,0.11363636363636365,0.010070071966862175,0.0,5.898415581574798,-0.0135056719603048,-0.002542994928850738,0.007853640134192026
2502,"(28, 34)",1,1,0.14433756729740646,0.06666666666666667,0.125,0.25,0.08333333333333333,0.020833333333333332,48,0.26425736993644544,0.022727272727272728,0.0036356181634598634,0.0,2.537698981649218,-0.0033935789556552172,-0.00566724584143879,0.007519452630020103
2732,"(31, 32)",1,2,0.23570226039551587,0.13333333333333333,0.23529411764705882,0.25,0.2222222222222222,0.027777777777777776,72,0.7093572808119795,0.12179487179487179,0.004949491887610706,0.0,3.5468522516153604,-0.01450475101329112,-0.004014299137685813,0.007453822390364925
2782,"(31, 86)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0008068911704047167,0.0,0.8696831789195758,-0.027464979041999495,-0.01889081947146262,0.004117648784624611
2970,"(34, 51)",1,3,0.29417420270727607,0.1111111111111111,0.2,0.75,0.11538461538461539,0.028846153846153848,104,0.9432821801268098,0.12987012987012986,0.009326023061987203,0.0,2.903124935001056,-0.01941876094195196,-0.004904347362783573,0.007307805973245139
2973,"(34, 54)",1,3,0.4743416490252569,0.2727272727272727,0.42857142857142855,0.75,0.3,0.075,40,0.9432821801268098,0.12987012987012986,0.007271593048264163,0.0,2.439970046473208,0.0029772930967619828,-0.005950608133510735,0.008776438889563401
3150,"(36, 87)",1,2,0.2886751345948129,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.25,0.041666666666666664,48,0.6431805516263966,0.09415584415584416,0.006085275479245818,0.0,3.0725973647805365,0.004504458356274059,-0.004958840111258942,0.008628397225852211
3175,"(37, 38)",1,1,0.1259881576697424,0.06666666666666667,0.125,0.14285714285714285,0.1111111111111111,0.015873015873015872,63,0.26425736993644544,0.022727272727272728,0.003825318438050842,0.0,3.3058785797222185,-0.019144798090129957,-0.00431790159347718,0.006766362806360177
3553,"(42, 79)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.001048358067925672,0.0,2.7842089686257174,-0.045935003435472195,-0.0043792354229299744,0.005314683612103289
3606,"(43, 70)",1,2,0.1414213562373095,0.06451612903225806,0.12121212121212122,0.25,0.08,0.01,200,0.6666869743182902,0.10606060606060605,0.008316654217414968,0.0,5.234324511036548,-0.013517887784559672,-0.0028052866915121966,0.007692399181770062
3631,"(43, 100)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.00024434510424267854,0.0,1.2509056515960966,-0.057700992684672596,-0.009180938263130827,0.00379601354157433
3647,"(44, 50)",1,3,0.3396831102433787,0.1875,0.3157894736842105,0.5,0.23076923076923078,0.038461538461538464,78,1.0774750335296484,0.19415584415584416,0.009163042340573099,0.0,3.77800547996044,0.026051704566742304,-0.004141448884128347,0.010304888050347499
4016,"(50, 54)",1,6,0.5262348115842176,0.35294117647058826,0.5217391304347826,0.6,0.46153846153846156,0.046153846153846156,130,3.31423983200552,0.8683316683316682,0.015598169980536494,0.0,5.261128548547478,0.07826371492445462,-0.003007999715840589,0.012808376893691858
4126,"(52, 56)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.00022266896347468158,0.0,1.62652393144438,-0.031921031319098604,-0.008500868762158192,0.004073464042304089
4200,"(53, 73)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0005298210430301124,0.0,2.3803214980358955,-0.021003450160408606,-0.006233970425582666,0.005616171070260694
4250,"(54, 68)",1,4,0.38138503569823695,0.23529411764705882,0.38095238095238093,0.4,0.36363636363636365,0.03636363636363636,110,1.6476475520460618,0.3598901098901099,0.010060497066647264,0.0,4.607663772742329,0.020363984617610718,-0.003245786254642218,0.009836811683886983
4417,"(57, 75)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.000632564920469842,0.0,1.455273211077348,-0.011916978114392506,-0.01062608595269773,0.0059813354931358784
4516,"(59, 72)",1,1,0.11785113019775793,0.058823529411764705,0.1111111111111111,0.16666666666666666,0.08333333333333333,0.013888888888888888,72,0.45511961331341866,0.1111111111111111,0.004147922124642592,0.0,3.5802273886928764,0.006381524744147952,-0.004250434381079096,0.008605340482325217
5005,"(70, 75)",1,3,0.375,0.23076923076923078,0.375,0.375,0.375,0.046875,64,1.2856213552307498,0.2909090909090909,0.0071676886125982605,0.0,3.6269909026935867,0.034546400252773425,-0.0042504343810790945,0.011198008282412188
5017,"(70, 87)",1,2,0.25,0.14285714285714285,0.25,0.25,0.25,0.03125,64,0.6985518518396971,0.12272727272727274,0.005858418340400323,0.0,3.533109182560518,0.00760413265027963,-0.004250434381079089,0.008841841651426688
5034,"(70, 105)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.00144536571125953,0.0,2.9759365755349023,-0.014044372107033633,-0.004958840111258939,0.006712303446273813
5290,"(78, 79)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0002551970621924804,0.0,1.459354969068336,-0.035964121421101385,-0.010046481264368756,0.004140921966955294
5392,"(81, 94)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.00021735767815461192,0.0,1.160607711250555,-0.012309053187816483,-0.011901216267021463,0.005316721885081384
5483,"(84, 104)",1,2,0.20519567041703082,0.09090909090909091,0.16666666666666666,0.4,0.10526315789473684,0.021052631578947368,95,0.8855923044960573,0.22272727272727275,0.005764972536352636,0.0,3.4324030830753256,0.00020243006571812907,-0.004295175795616765,0.008269588615859896
