,Edges,y,CN,SaI,JI,SoI,HPI,HDI,LHN1,PAI,AAI,RAI,KzI,LHN2,ACT,CBL,RWR,MFI
0,"(0, 4)",1,1,0.2672612419124244,0.07142857142857142,0.13333333333333333,1.0,0.07142857142857142,0.07142857142857142,14,0.7213475204444817,0.25,0.007565863335712894,0.01590658264138692,0.6363636363636347,0.05679650832642009,-0.042305161229669826,0.02020381535215884
6,"(0, 19)",1,1,0.1889822365046136,0.06666666666666667,0.125,0.5,0.07142857142857142,0.03571428571428571,28,0.48089834696298783,0.125,0.0136427579600695,0.008867014929967797,1.4558927114323934,-0.08140145081843521,-0.02256275265582402,0.019089016427583063
30,"(1, 17)",1,1,0.35355339059327373,0.125,0.2222222222222222,1.0,0.125,0.125,8,0.3789231816899512,0.07142857142857142,0.010781315174776382,0.029653429644471957,0.8122124701500816,-0.007925184728157906,-0.04442041929115357,0.020247300626283923
98,"(4, 10)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0011710190446697943,0.0034931908752515706,0.5250000000000011,0.12805140427451664,-0.059227225721538004,0.023236622300170918
244,"(9, 33)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.004205110119013939,0.0012165602022194161,0.8043351992366125,-0.09073602740894221,-0.04211713829087144,0.012629500896594223
433,"(20, 33)",1,1,0.2581988897471611,0.06666666666666667,0.125,1.0,0.06666666666666667,0.06666666666666667,15,0.40242960438184466,0.08333333333333333,0.013175980593691287,0.016735250679983688,0.8635410708684648,0.04383099780944586,-0.04211713829087152,0.021128534091768743
471,"(25, 31)",1,1,0.31622776601683794,0.16666666666666666,0.2857142857142857,0.5,0.2,0.1,10,0.9102392266268373,0.3333333333333333,0.008077344374622897,0.022596475023965532,1.1605912500078315,0.1059387272023301,-0.027639372003384385,0.03171429188869877
476,"(26, 29)",1,1,0.5773502691896258,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,3,0.36926937306885504,0.06666666666666667,0.00859035972105723,0.07551874866355998,0.71398483139791,0.04254714263098342,-0.05264642286358935,0.023431177364026202
0,"(0, 2)",1,4,0.3779644730092272,0.2222222222222222,0.36363636363636365,0.5,0.2857142857142857,0.03571428571428571,112,2.3816914285183284,0.7416666666666667,0.051702917721319824,0.0090991011596162,3.3833444685306278,-0.038216664708146504,-0.009651380439868993,0.025853549921385888
1,"(0, 5)",1,2,0.3086066999241838,0.13333333333333333,0.23529411764705882,0.6666666666666666,0.14285714285714285,0.047619047619047616,42,1.631586747071319,0.5833333333333333,0.018892787005940225,0.011557414929483707,1.2799999999999963,0.1747055802318607,-0.019887693027608695,0.0280083868994186
40,"(1, 30)",1,0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.004386911659045531,0.000561646995892759,1.4019308276035765,-0.16826648191250226,-0.022519887693027544,0.011174633516193872
47,"(2, 8)",1,1,0.20412414523193154,0.1,0.18181818181818182,0.3333333333333333,0.125,0.041666666666666664,24,0.40242960438184466,0.08333333333333333,0.014732208120377795,0.010778170021482502,1.7445969284710077,-0.055150214674126154,-0.022519887693027676,0.01844987234182726
221,"(8, 33)",1,2,0.3086066999241838,0.13333333333333333,0.23529411764705882,0.6666666666666666,0.14285714285714285,0.047619047619047616,42,1.312668831008682,0.41666666666666663,0.027193899843327204,0.012357984834016175,2.0387740640023133,0.05281416497369318,-0.01988769302760881,0.025616444124322946
